dataset,best_makespan,best_processing,best_energy,best_idle
ps4j2m-setup25_1.31_0.63_63321.txt,344.00,493.00,8.38,195.00
ps4j2m-setup99_1.26_0.79_59222.txt,412.00,398.00,6.99,426.00
ps4j2m-setup99_1.26_0.73_14448.txt,507.00,349.00,6.37,665.00
ps4j2m-setup50_1.27_0.72_79727.txt,356.00,380.00,6.61,332.00
ps4j2m-setup50_1.22_0.68_23548.txt,446.00,475.00,8.26,417.00
ps4j2m-setup25_1.27_0.65_91485.txt,287.00,367.00,6.29,207.00
ps4j2m-setup25_1.26_0.79_59222.txt,291.00,398.00,6.79,184.00
ps4j2m-setup25_1.22_0.68_23548.txt,370.00,475.00,8.14,265.00
ps4j2m-setup125_1.3_0.62_14484.txt,708.00,526.00,9.51,890.00
ps4j2m-setup125_1.31_0.63_63321.txt,510.00,493.00,8.66,527.00
ps4j2m-setup125_1.21_0.7_450.txt,379.00,196.00,3.73,562.00
ps4j2m-setup125_1.21_0.7_95287.txt,521.00,418.00,7.49,624.00
ps5j2m-setup125_1.22_0.68_23548.txt,658.00,604.00,10.66,712.00
ps5j2m-setup125_1.25_0.64_33919.txt,519.00,332.00,6.12,706.00
ps5j2m-setup50_1.24_0.71_48787.txt,418.00,522.00,8.96,314.00
ps6j2m-setup99_1.23_0.64_41468.txt,493.00,396.00,7.09,590.00
ps6j2m-setup99_1.23_0.61_98871.txt,634.00,600.00,10.56,668.00
ps6j2m-setup50_1.27_0.68_86841.txt,437.00,595.00,10.15,279.00
ps6j2m-setup25_1.33_0.65_66217.txt,395.00,537.00,9.16,253.00
ps6j2m-setup125_1.27_0.76_90277.txt,669.00,645.00,11.33,693.00
ps6j2m-setup25_1.31_0.63_63321.txt,489.00,638.00,10.92,340.00
ps20j2m-setup25_1.24_0.56_80879.txt,1147.00,1732.00,1881.50,562.00
ps20j2m-setup25_1.25_0.55_38999.txt,1283.00,2173.00,2612.62,393.00
ps20j2m-setup99_1.28_0.65_49292.txt,1327.00,1715.00,2099.87,939.00
ps20j2m-setup99_1.08_0.59_57394.txt,1509.00,1891.00,2313.33,1127.00
ps20j2m-setup25_1.37_0.79_84074.txt,1234.00,1943.00,2202.53,525.00
ps20j2m-setup25_1.35_0.83_93184.txt,1273.00,2121.00,2456.87,425.00
ps50j2m-setup125_1.21_0.77_47315.txt,3874.00,4766.00,5355.03,2982.00
ps50j2m-setup125_1.26_0.56_51577.txt,4381.00,5548.00,6974.87,3214.00
ps50j2m-setup25_1.34_0.84_55549.txt,2799.00,4794.00,5328.39,804.00
ps50j2m-setup25_1.35_0.83_93184.txt,2550.00,4265.00,4920.70,835.00
ps50j2m-setup50_1.08_0.59_57394.txt,3047.00,4787.00,5731.09,1307.00
ps50j2m-setup50_1.18_0.64_28134.txt,3301.00,5146.00,5436.72,1456.00
ps50j2m-setup99_1.34_0.73_65114.txt,4022.00,4931.00,6110.75,3113.00
ps50j2m-setup99_1.35_0.83_93184.txt,3977.00,5293.00,6181.05,2661.00
ps80j2m-setup50_1.16_0.69_25739.txt,5005.00,7794.00,8630.26,2216.00
ps80j2m-setup50_1.25_0.55_38999.txt,5522.00,8535.00,10319.32,2509.00
ps80j2m-setup99_1.12_0.71_16039.txt,5881.00,7812.00,9014.96,3950.00
ps80j2m-setup50_1.28_0.65_49292.txt,5301.00,8219.00,9938.58,2383.00
ps120j2m-setup99_1.11_0.7_94877.txt,9061.00,12117.00,14565.59,6005.00
ps120j2m-setup50_1.25_0.74_73248.txt,7565.00,11645.00,13528.25,3485.00
ps120j2m-setup25_1.23_0.63_42700.txt,7155.00,12419.00,14073.41,1891.00
ps120j2m-setup25_1.19_0.62_75830.txt,6983.00,12028.00,14251.90,1938.00
ps120j2m-setup25_1.16_0.51_95902.txt,6721.00,11585.00,13523.80,1857.00
ps120j2m-setup25_1.14_0.66_3960.txt,7124.00,12240.00,14967.37,2008.00
ps120j2m-setup25_1.14_0.52_49633.txt,6934.00,11991.00,13807.20,1877.00
ps120j2m-setup125_1.3_0.79_68968.txt,10122.00,11479.00,14416.79,8765.00
ps120j2m-setup125_1.23_0.63_42700.txt,9677.00,11811.00,13705.37,7543.00
ps120j2m-setup125_1.18_0.64_28134.txt,10081.00,12061.00,12991.76,8101.00
ps120j2m-setup125_1.13_0.63_69231.txt,10253.00,12330.00,14189.23,8176.00
